benchmark,total_instances,verified_count,verified_pct,timed_out_count,timed_out_pct,avg_bound_width,avg_runtime
acasxu_2023,184,21,11.41,0,0.00,1578.855629,0.9290
cersyve,12,0,0.00,0,0.00,5.050748,0.8975
cgan_2023,17,0,0.00,17,100.00,--,301.2076
cifar100_2024,200,1,0.50,100,50.00,4.817752,237.9688
collins_rul_cnn_2022,62,55,88.71,0,0.00,76.795225,0.9352
cora_2024,60,19,31.67,0,0.00,14582.235116,3.9732
dist_shift_2023,72,66,91.67,0,0.00,11.693608,0.5514
linearizenn_2024,60,10,16.67,0,0.00,148.062915,0.8355
malbeware,150,125,83.33,0,0.00,5.406042,1.6283
metaroom_2023,100,92,92.00,0,0.00,26.036644,6.7675
nn4sys,1,0,0.00,1,100.00,--,301.2100
safenlp_2024,195,4,2.05,0,0.00,22.949668,0.4622
sat_relu,100,0,0.00,0,0.00,58.009330,0.4475
test,3,3,100.00,0,0.00,0.168266,0.6733
tllverifybench_2023,32,0,0.00,0,0.00,3327.930932,26.4616
