tool,benchmark,slurm_id,status,timed_out,wall_time,bound_width,lower_bounds,upper_bounds
lirpa,acasxu_2023,1,unknown,,1.0300,617.832168,[-465.13739],[152.694778]
lirpa,acasxu_2023,2,unknown,,0.9800,769.705567,[-574.711487],[194.99408]
lirpa,acasxu_2023,3,unknown,,0.9500,5611.376587,[-1225.327759],[4386.048828]
lirpa,acasxu_2023,4,unknown,,0.9800,516.858078,[-249.595139],[267.262939]
lirpa,acasxu_2023,5,unknown,,1.0400,260.556847,[-182.454163],[78.102684]
lirpa,acasxu_2023,6,unknown,,1.0700,140.209709,[-95.791733],[44.417976]
lirpa,acasxu_2023,7,unknown,,1.0500,81.474716,[-63.633999],[17.840717]
lirpa,acasxu_2023,8,unknown,,1.0300,60.645376,[-22.081869],[38.563507]
lirpa,acasxu_2023,9,unknown,,1.0400,31.447994,[-14.67485],[16.773144]
lirpa,acasxu_2023,10,unknown,,1.0400,701.798660,[-491.104309],[210.694351]
lirpa,acasxu_2023,11,unknown,,1.1300,1265.490723,[-818.824585],[446.666138]
lirpa,acasxu_2023,12,unknown,,1.0600,742.782074,[-588.026978],[154.755096]
lirpa,acasxu_2023,13,unknown,,1.0300,720.100555,[-564.872131],[155.228424]
lirpa,acasxu_2023,14,unknown,,1.0400,1581.574707,[-1275.62085],[305.953857]
lirpa,acasxu_2023,15,unknown,,1.0400,3595.641052,[-2657.546631],[938.094421]
lirpa,acasxu_2023,16,unknown,,0.9800,7747.867432,[-4947.740723],[2800.126709]
lirpa,acasxu_2023,17,unknown,,1.0800,9532.251220,[-6025.90332],[3506.3479]
lirpa,acasxu_2023,18,unknown,,1.0600,7243.370118,[-4363.443848],[2879.92627]
lirpa,acasxu_2023,19,unknown,,1.0600,855.057129,[-524.804321],[330.252808]
lirpa,acasxu_2023,20,unknown,,1.0800,825.033142,[-540.640869],[284.392273]
lirpa,acasxu_2023,21,unknown,,1.0600,948.100433,[-621.684326],[326.416107]
lirpa,acasxu_2023,22,unknown,,1.0600,601.915329,[-421.51358],[180.401749]
lirpa,acasxu_2023,23,unknown,,1.0400,1166.550537,[-993.104614],[173.445923]
lirpa,acasxu_2023,24,unknown,,1.0400,5370.624634,[-3563.453369],[1807.171265]
lirpa,acasxu_2023,25,unknown,,1.0400,7080.452881,[-4679.785156],[2400.667725]
lirpa,acasxu_2023,26,unknown,,1.0800,5628.093872,[-4134.71582],[1493.378052]
lirpa,acasxu_2023,27,unknown,,1.0600,7978.961914,[-5361.702148],[2617.259766]
lirpa,acasxu_2023,28,unknown,,1.0300,1099.267838,[-868.280884],[230.986954]
lirpa,acasxu_2023,29,unknown,,1.0100,945.278107,[-613.985779],[331.292328]
lirpa,acasxu_2023,30,unknown,,1.0400,1027.356201,[-749.54126],[277.814941]
lirpa,acasxu_2023,31,unknown,,1.0400,790.379761,[-597.939087],[192.440674]
lirpa,acasxu_2023,32,unknown,,1.0400,2186.478699,[-1522.595215],[663.883484]
lirpa,acasxu_2023,33,unknown,,1.0400,4561.458191,[-3808.155518],[753.302673]
lirpa,acasxu_2023,34,unknown,,1.0400,8257.521973,[-5786.799805],[2470.722168]
lirpa,acasxu_2023,35,unknown,,1.0600,7915.459961,[-5458.428223],[2457.031738]
lirpa,acasxu_2023,36,unknown,,1.0300,15215.683350,[-11677.544922],[3538.138428]
lirpa,acasxu_2023,37,unknown,,1.0400,852.484741,[-545.730408],[306.754333]
lirpa,acasxu_2023,38,unknown,,1.0400,487.507515,[-361.890717],[125.616798]
lirpa,acasxu_2023,39,unknown,,1.0600,1032.341736,[-663.964783],[368.376953]
lirpa,acasxu_2023,40,unknown,,1.0400,972.934571,[-644.669434],[328.265137]
lirpa,acasxu_2023,41,unknown,,1.0500,1523.324128,[-1155.247681],[368.076447]
lirpa,acasxu_2023,42,unknown,,1.0500,4800.713623,[-2979.458984],[1821.254639]
lirpa,acasxu_2023,43,unknown,,1.0300,6250.894409,[-4324.904785],[1925.989624]
lirpa,acasxu_2023,44,unknown,,1.0500,10680.289551,[-7272.834473],[3407.455078]
lirpa,acasxu_2023,45,unknown,,1.0100,6933.268066,[-4674.882812],[2258.385254]
lirpa,acasxu_2023,46,unknown,,1.0500,623.851921,"[-197.994659, -157.59938, -465.948669, -374.660461]","[236.325211, 271.669983, 368.101532, 423.107788]"
lirpa,acasxu_2023,47,unknown,,0.9900,556.115871,"[-176.552124, -165.877319, -389.032745, -377.624115]","[199.730469, 225.757278, 337.750061, 352.139374]"
lirpa,acasxu_2023,48,unknown,,1.0300,3843.005997,"[-637.26709, -1498.751343, -679.532471, -1930.085815]","[1443.690063, 638.833557, 7633.390625, 910.473022]"
lirpa,acasxu_2023,49,unknown,,0.9900,366.755846,"[-112.52832, -109.532516, -240.835495, -237.52536]","[106.180443, 99.090057, 247.046158, 314.285034]"
lirpa,acasxu_2023,50,unknown,,1.0700,180.230683,"[-86.81839, -69.336884, -86.893593, -75.285805]","[61.601795, 64.729721, 137.632217, 138.624329]"
lirpa,acasxu_2023,51,unknown,,1.0400,204.519123,"[-131.500839, -78.864288, -133.16423, -84.620819]","[87.029915, 89.171967, 102.853485, 110.870949]"
lirpa,acasxu_2023,52,unknown,,1.0600,157.559036,"[-63.242138, -108.132408, -55.226055, -92.769325]","[83.403351, 77.532745, 92.103279, 57.826843]"
