benchmark,slurm_id,lirpa_width,abcrown_width,ratio,diff,lirpa_lower,lirpa_upper,abcrown_lower,abcrown_upper
acasxu_2023,126,23.316672,0.055827,417.6594121124187,23.260845,"[-7.241675, -7.241279, -7.945916, -6.94347]","[18.001743, 14.652811, 16.645594, 14.594199]","[0.007380357943475246, -0.020901642739772797, 0.005961828865110874, -0.020794419571757317]","[0.07900534570217133, 0.021127158775925636, 0.07359221577644348, 0.021229486912488937]"
acasxu_2023,150,6.752919,0.081577,82.7796928055702,6.671342,"[-3.041707, -2.733467, -2.699033, -2.692155]","[4.41432, 4.000005, 3.59394, 3.837048]","[0.008104726672172546, -0.03376877307891846, -0.0038074145559221506, -0.03618176281452179]","[0.08858440071344376, 0.04913552105426788, 0.07818608731031418, 0.04474909231066704]"
acasxu_2023,162,7.091401,0.093882,75.53525702477579,6.9975190000000005,"[-3.750467, -4.092659, -3.788249, -4.07175]","[2.737364, 3.667089, 3.079022, 3.179002]","[-0.03566478192806244, 0.002087757922708988, -0.03661823645234108, -0.0009635575115680695]","[0.05753818899393082, 0.0994655042886734, 0.05567338317632675, 0.09169229120016098]"
acasxu_2023,179,4.092943,0.065587,62.404790583499775,4.027356,"[-1.015779, -1.58446, -1.115649, -1.327159]","[2.914491, 3.111869, 2.626487, 2.67588]","[-0.034867867827415466, 0.00638338178396225, -0.03654329478740692, 0.0054105184972286224]","[0.0316033735871315, 0.07457825541496277, 0.028957843780517578, 0.06759242713451385]"
acasxu_2023,152,21.029705,0.53801,39.087944461998845,20.491695,"[-9.475393, -8.26037, -8.034858, -8.851477]","[14.110508, 11.445111, 12.026571, 11.914532]","[-0.16364169120788574, -0.19695468246936798, -0.1663631796836853, -0.20878665149211884]","[0.4127592444419861, 0.3203182816505432, 0.36273103952407837, 0.32048529386520386]"
acasxu_2023,117,2.394836,0.067792,35.3262331838565,2.3270440000000003,"[-0.121389, -0.081648, -0.122699, -0.088883]","[2.10825, 2.632253, 2.194942, 2.229279]","[-0.034200675785541534, 0.004253305494785309, -0.03544458746910095, 0.0010585561394691467]","[0.03318919241428375, 0.07261760532855988, 0.03201955184340477, 0.06900814920663834]"
acasxu_2023,131,1.689194,0.052277,32.31237446678272,1.6369170000000002,"[-0.568236, -0.958503, -0.574, -0.994413]","[0.739406, 0.94564, 0.950045, 1.026534]","[-0.032861195504665375, -0.00034774839878082275, -0.027442559599876404, 0.014006920158863068]","[0.014230342581868172, 0.055353134870529175, 0.025512490421533585, 0.0673673078417778]"
acasxu_2023,169,0.145371,0.004846,29.998142798184073,0.140525,"[-0.014977, -0.06142, -0.019228, -0.063282]","[0.137718, 0.081789, 0.117588, 0.085481]","[0.04068760201334953, -0.001314123161137104, 0.036728259176015854, -0.0022667075973004103]","[0.04421250894665718, 0.004532106686383486, 0.04087334871292114, 0.0036030099727213383]"
acasxu_2023,95,0.171046,0.007192,23.78281423804227,0.163854,"[-0.079462, -0.113198, -0.12502, -0.161693]","[0.028387, 0.057733, 0.052393, 0.066298]","[0.0016465457156300545, -0.0003381781280040741, 0.007474320009350777, 0.0055474694818258286]","[0.005085095763206482, 0.006255953572690487, 0.016029156744480133, 0.01572783663868904]"
acasxu_2023,109,3.284616,0.156681,20.963716085549624,3.1279350000000004,"[-1.489177, -1.549114, -2.145594, -2.150856]","[0.950471, 1.319944, 1.422292, 2.111016]","[-0.05281011760234833, 0.0003331424668431282, -0.07565213739871979, -0.047333963215351105]","[0.0300118587911129, 0.10566214472055435, 0.11306247860193253, 0.20252272486686707]"
